user,location,text,sentiment,probability
ElSoldeTijuana1,Tijuana,⚠ a consecuencia del confinamiento derivada por el twhashtag han tenido conocimiento que los casos de violencia int… twurl,Positivo,65
MinPresidencia,Bolivia,el seguro de vida para el personal de salud sera de bs. en caso de muerte o invalidez total o permanente por… twurl,Positivo,52
ieee_mhidalgo,,segun twmention para la sociedad española estas son las medidas mas efectivas en la lucha contra el twhashtag twurl,Positivo,87
Alberto15502378,,buenas tardes octavo c realicemos un poco de ejercicio este dia los  invito a classroom#educacion twhashtag twurl,Positivo,92
DDMexico,México,twhashtag morales santillan y victor manuel ortiz marquez fallecieron en dias pasados luego de ser infectados… twurl,Positivo,88
RicardoAlpireR,Bolivia,twhashtag es complice del gobierno gobierno comunista de china. twhashtag twhashtag twhashtag twurl,Positivo,86
JefaturaMontuf1,"Carchi, Ecuador","participamos en una reunion de trabajo con las instituciones encargadas del control y seguridad del canton, con la… twurl",Positivo,85
CGerardoPerla,Literatura,los trumpendejos han alcanzado su cenit de imbecilidad. twhashtag twhashtag twurl,Positivo,90
Mario_ValAstur,,twmention son acontecimientos ¡imperdonables! ¿alguna duda sobre eso? desde el punto de vista zurdo es mas i… twurl,Positivo,90
JeSuisEspe_,Macondo,capitalismo 🇺🇸millones esperan a recibir ayuda alimentaria mientras se extiende el twhashtag los ojos de los h… twurl,Positivo,77
UltimaProfecia,,"twhashtag primera vez en  años se saco la espada de san miguel arcangel, como una suplica para ayudar a la h… twurl",Positivo,88
MedicaVendida,,gracias por cuidar de nosotras twmention twmention twmention con esto y un bizcocho has… twurl,Positivo,97
ev212,Xalapa,proteccion civil twhashtag de twhashtag continua perifoneo preventivo ante twhashtag twurl via twmention,Positivo,88
EmbCanArgentina,Buenos Aires,twurl el gobierno de canada esta comprometido en proporcionar informacion precisa y basada en pru… twurl,Positivo,76
muni_pachacamac,Jr. Paraíso 206 Pachacamac,"a lo largo de la mañana, nuestro personal de limpieza publica realizan labores de desinfeccion en espacios publicos… twurl",Positivo,74
TiempoDCanarias,#Canarias / #España,🇮🇨 cc insiste en la creacion de un comite tecnico de twhashtag twhashtag twhashtag twurl,Positivo,90
29Cheva_Patria,Chile,🔴sin condiciones sanitarias🔴#reporteciudadano desde el hospital heodra en leon. decenas de ciudadanos hacinados e… twurl,Positivo,75
kemar75019,España,twmention y en todos los comercios los precios subiendo mercadona por ejemplo y despues todas las webs para co… twurl,Positivo,85
MaikGarcia5,AT HOME 🏡 ,“en twhashtag tambien hace aire”asi le pide el sapo twmention a lopez-gatell  enviar apoyos para enfrentar al… twurl,Positivo,86
XHespanol,"北京, 中华人民共和国",ante el aumento de casos positivos de twhashtag en twhashtag surgen noticias alentadoras. haz clic en la… twurl,Positivo,87
EnLatitud25,RT ≠ endorsement,"🌏[los mas afectados]😷ee.uu., españa, italia, francia y alemania son los  paises con mas casos confirmados de cor… twurl",Positivo,59
ElTxoroMatutino,"Cuernavaca, Morelos","twhashtag twhashtag twhashtag de la pandemia por coronavirus, en cuautla, voceadores y expendedores de revis… twurl",Positivo,90
TamaraGuerraCu,,"twhashtag policia de miami arresto al dr armen henderson por arrojar ""basura en la calle""👉 pero en realidad… twurl",Positivo,66
mazzoned,"Montevideo, Uruguay","twhashtag generalizada condena a la decision del presidente donald trump, de suspender los aportes de us a la oms. s… twurl",Positivo,81
lasillarota,"México, Distrito Federal",twhashtag ''mientras el gobierno no me venga a cerrar.. hay que trabajar'' comerciantes en el twhashtag buscan la ma… twurl,Positivo,85
WorldEnergyTrad,worldwide,¿como afectara el covid- a la industria del carbon en el ? | twhashtag twhashtag twhashtag twhashtag twhashtag twurl,Positivo,91
latinus_us,,"la oficina del tesoro informo que debido a esto, los cheques para apoyar a los estadounidenses ante la crisis por… twurl",Positivo,52
EUMazatenango,,"twhashtag los jugadores extrañamos muchas cosas, por ejemplo la aficion en el estadio y grita… twurl",Positivo,87
celsoibarra,"UT: 24.145052,-110.317001",twmention habilitara un nuevo servicio llamado twhashtag sera para enviar y recibir paquetes con el fin de que los so… twurl,Positivo,94
teleSURtv,Caracas,el canciller de twhashtag twmention resalto en su cuenta de la red social twitter el llamamiento de un expert… twurl,Positivo,86
soyelfaraon,Caracas.Venezuela,"si en esta twhashtag te da miedo que te contagie el medico,  el del aseo el repartidor la enfermera el policia es… twurl",Positivo,57
Quadratin_,"Morelia, México","twhashtag twmention llamo a no perderse en inventos ni en oportunismos politicos, cuando la urgencia es… twurl",Positivo,90
AlexisPanadero,"Zaragoza, España",fue a por lana y salio trasquilado 😁🤣 twhashtag twhashtag twhashtag twhashtag twhashtag twurl,Positivo,91
CarlosMemon,Colombia,mi hija es una de las afortunadas en españa que ha superado el twhashtag es un verdadero milagro ya que ella fue di… twurl,Positivo,85
ObservatorioMRD,"Mérida, Venezuela",twhashtag 👉🏾 nuevo curso online en español sobre eprotect infecciones respiratorias: salud y seguridad ocupacional 💻… twurl,Positivo,91
eselprimerpalo,,🇷🇸 luka jovic declarara ante la fiscalia serbia por saltarse la cuarentena twhashtag,Positivo,77
Corresponsables,Iberoamérica ,. twmention actua contra el twhashtag twhashtag twhashtag twurl,Positivo,95
fronteravivanew,Colombia,twhashtag 🇮🇹 | 🦠😷 informe de casos twhashtag confirmados📍. recuperados📍. fallecidosfuente: twmention twurl,Positivo,89
CGR_Colombia,Colombia- Teléfono (1) 5187000,twhashtag equipo de twmention realiza visita de recoleccion de informacion y atencion de denuncias en municipi… twurl,Positivo,91
TODOSOBREMOVIL,MADRID,"bicicleta estatica con sensores de pulso de manoprecio: , € envio gratis.ahorras: , € (%)clic aqui… twurl",Positivo,79
AngelGdeAgreda,"Madrid, Spain",twmention describe en este estupendo articulo del twmention el uso de una politica twhashtag no convencional pa… twurl,Positivo,93
ajplusespanol,México,¿te sientes agobiado por el tsunami de informacion sobre el twhashtag salud mental tambien tiene que protegerse… twurl,Positivo,80
ceenlmx,"Monterrey, N.L. México",twhashtag compartimos el panel  «nuevos mecanismos de participacion politica como profundizacion de… twurl,Positivo,88
EFEUSA,Washington D.C.,nueva muestra con twhashtag busca masificar las pruebas de twhashtag en eeuuhttps://t.co/zepagowlz,Positivo,87
SSC_CDMX,Liverpool #136 Col. Juárez,efectivos de la twhashtag constantemente limpian sus objetos de trabajo para evitar la propagacion del virus twhashtag twurl,Positivo,88
LaJornadaMaya,"Camp, Yuc, QRoo",ante la situacion mundial de twhashtag por el twhashtag el mercado del arte ha tenido que adaptarse y realizar… twurl,Positivo,88
BcnMagazine,"Barcelona, España",twhashtag | twmention critica la mala gestion del twhashtag por parte de las administraciones catalanas 😷👎… twurl,Positivo,79
Fedemunicipios,"Bogotá, D.C., Colombia",alcaldia de pasto - nariño refuerza los operativos de control de precios en medio de emergencia por el twhashtag twurl,Positivo,78
lajornadaonline,México,twhashtag mas de  vacunas contra el twhashtag se desarrollan a nivel global (tres farmaceuticas ya estan realiza… twurl,Positivo,86
noroestemx,"Sinaloa, México","el neumologo y ex secretario de salud estatal, hector ponce, señala que, con el twhashtag entre mas temprano se ini… twurl",Positivo,83
VertigoPolitico,"México, Distrito Federal","twhashtag |  la union europea presento hoy un plan de salida del confinamiento para sus paises, con el pretende unific… twurl",Positivo,85
xoanadafonte,da bahia mais fermosa   ,twmention twmention ese es el pensamiento y sentimiento que todo democrata deberia tener en situaciones t… twurl,Positivo,87
guardiacivil,España,guardias civiles de el algar twhashtag detienen a una mujer que se hacia pasar por profesional sanitaria y recorria e… twurl,Positivo,77
CSSPanama,Panamá,personal de salud de la ulaps de guadalupe realizo visita domiciliaria a pacientes positivos de twhashtag para el co… twurl,Positivo,84
diario24horas,México,el tenista serbio novak djokovic continua con la ayuda durante la pandemia del twhashtag 👏🎾  twurl,Positivo,85
_RevistaCambio,"Mexico, D.F.",el cadaver es de un hombre de  años de edad y fue diagnosticado con twhashtag twhashtag twurl,Positivo,87
InfoMdpya,"Mar del Plata, Argentina","cgt repudio las maniobras de aldrey para despedir, precarizar y reducir salarios twhashtag twhashtag twhashtag twurl",Positivo,87
AntonioTeutliC,"Coronango, Puebla",elementos de seguridad publica son monitoreados constantemente por paramedicos de twhashtag para descartar cualqui… twurl,Positivo,80
Milenio,México,"twhashtag | ""a los mexicanos no nos vino el twhashtag como anillo al dedo, para amlo y los suyos si porque l… twurl",Positivo,84
FUNCASES,Madrid (España),hasta ahora el comercio internacional habia permitido grandes avances en la integracion de los procesos productivos… twurl,Positivo,73
El_Plural,España,📊 twhashtag | el oro ha recuperado cierta estabilidad twhashtag twurl,Positivo,92
LaTiteria,"Vicente Guerrero 7, Coyoacán.","twhashtag hoy a las , taciturno, la vaca y la doctora luna sostendran una charla, donde nos enseñaran algunos… twurl",Positivo,91
lavozfrontera,"Mexicali, B.C. México",mexicalenses sanitizan mexicali para colaborar en la contingencia del twhashtag luego de publicar sus acciones en r… twurl,Positivo,85
teleSURtv,Caracas,"la competencia ciclistica, twhashtag se aplaza hasta el mes de agosto frente a la pandemia del twhashtag 👉… twurl",Positivo,84
VivoEnPlayaDC,Playa del Carmen,👉ante la pandemia  por twhashtag 🦠 se nos exhorta a permanecer al interior de nuestro hogar. el operativo maxima pre… twurl,Positivo,86
MPRgroupUSA,Washington DC - USA,crisis y liderazgo politico en tiempos de coronavirushttps://t.co/ccnojadwo ⬅ por twmention twurl,Positivo,68
NoticiasNavarra,"Pamplona, Navarra",alertan de que la mafia reparte comida entre los afectados por el virus twhashtag twhashtag twurl,Positivo,87
FVICENTEFERRER,,😷 bathalapalli sera hospital de referencia para tratar el twhashtag personal medico hace semanas que s… twurl,Positivo,81
saludjalisco,"Guadalajara, Jalisco",twmention explica como funciona el nuevo modelo de vigilancia epidemiologico twhashtag tiene como proposito… twurl,Positivo,93
oxfam_es,Oxford,"🔴 ningun individuo, comunidad o pais puede enfrentar la crisis del twhashtag solo. debemos trabajar juntos.el pres… twurl",Negativo,51
RJAColombia,Colombia,"""la situacion generada por la pandemia del twhashtag es un ensayo global de lo que viviremos en  por los dramati… twurl",Positivo,82
Primicias,Quito,en el numero : resulta imposible que esta cancion no remueva algo en el interior de cualquiera. ya sean recuerdos… twurl,Positivo,67
UnivisionDC,Washington DC,"hoy a las seis ⬇️🦠solicitan la residencia permanente para los beneficiarios del twhashtag alrededor de , estan… twurl",Positivo,89
saludhn,"B. El Centro, Tegucigalpa",region sanitaria metropolitana twhashtag capacita sobre twhashtag a policia militar del orden publico: medidas de prevenci… twurl,Positivo,78
Muni_Stgo,Chile,twhashtag despues que la mujer identificada con twhashtag quebrantando la twhashtag fue retirada por… twurl,Positivo,88
DimantecL,,recuerda que el lavado frecuente de manos reduce en un % la propagacion del twhashtag 🧼 👐 🚫 🦠 twurl,Positivo,81
JRomero1216,"Bogotá, D.C., Colombia",twmention twmention twmention twmention twmention  no quiero que esto se tome como xenofo… twurl,Positivo,94
ELDEBATE,Mexico,"segun el mas reciente balance oficial, la epidemia deja en mexico  muertos y . contagiados twhashtag twurl",Positivo,69
zoon_politik,Contra el Fanatismo,twmention twmention twmention twmention buenas tardes.hay un desbalance en los datos.hay un numero… twurl,Positivo,95
Latitud21mx,"Quintana Roo, México",en riesgo  mil empresas ☹️se perderian  millon de empleos y quebrarian  mil empresas por twhashtag adviert… twurl,Positivo,61
fenix2400,Bogota Colombia,indignante como algunos lideres mundiales buscan lavarse las manos. la gestion de la oms tiene sus reparos pero de… twurl,Positivo,74
ChubutPatagonia,"Chubut, Patagonia Argentina",➡️ twhashtag | actualizamos al / el compendio de medidas de asistencia economica aplicables al sector turistico… twurl,Positivo,81
R_claros,,"amor,  porque mueves tus orejitas cuando me haces sexo oral??weon no me sacaste la mascarilla !!… twurl",Positivo,79
CorunaJucil,,twmention grandes superheroes los peques💪🏼💪🏼#quedateencasa#covid#deestasalimosjuntos twhashtag twhashtag,Positivo,90
SanchezCeroilo,Guazapa,"antes teniamos de  a  muertes diarias y nadie se preocupaba, no habia cuarentena ni estado de excepcion ni de e… twurl",Positivo,70
tigresrw7,San Nicolás de los Garza,actualizacion twhashtag en twhashtag confirmados twhashtag hospitales privados laboratorios privados twurl,Positivo,87
EMCALIoficial,"Cali, Colombia",a partir de hoy : m. hasta que superemos emergencia por twhashtag se activaran las alarmas de toda la ciudad co… twurl,Positivo,91
nuevospapeles,Argentina,la otan avisa de que covid- puede tener significativos efectos geopoliticos twurl twhashtag twhashtag twurl,Positivo,86
riverasegovia,Killpuécity / Chile,el agua natural para las paltas..para los demas en camion algibe y agradezcan..  twhashtag twurl,Positivo,80
rafa_licon,México,febrero: tusamarzo: toseabril: tieso#covid,Positivo,64
Bibaanimx,"Tabasco, México","la seguridad alimentaria siempre ha sido fundamental, hoy mas que nunca es importante comprender sobre el@impacto de… twurl",Positivo,85
PalomaMartnezS1,La Habana,reconoce doctora afroamericana formada en la elam que la formacion  humanitaria y solidaria aprendida en twhashtag la gui… twurl,Positivo,82
reginasalaz,Mexico,⁦@rotoplasmexico⁩ realiza esfuerzos para asegurar abastecimiento de agua y contener contagios por twhashtag ⁦… twurl,Positivo,80
vivian_melga,"Dublín, Irlanda",hablemos del miedo que tengo de parir sola en el medio de esta pandemia. hablemos de traer a este mundo apocaliptic… twurl,Positivo,59
mislenireina,"Sancti Spíritus, Cuba",a tenor de las medidas de aislamiento social en el pais para evitar la propagacion de la twhashtag se potencian los… twurl,Positivo,72
INAPAGOB,"Santo Domingo, Dominican Repub","como institucion que le interesa la salud de su gente, brigadas nuestras limpiaron, desinfectaron y embellecieron l… twurl",Positivo,72
QhuboAzteca,Noreste República Mexicana,🚨 actualizacion 🚨🦠  casos de twhashtag en nuevo leon🇲🇽de los cuales:➡️  de indre y  hospitales privados… twurl,Positivo,89
Gmcp_mpprijp,"Caracas, Venezuela",los grandes de lidice te envian este mensaje para que tomemos conciencia y entendamos que el twhashtag no es un un j… twurl,Positivo,84
GNB_CARABODESUR,"Valencia, Venezuela",la . twmention y . twmention realizan proceso de desinfeccion en el hospital central de maracay para evitar la pro… twurl,Positivo,85
asi214,Ciudad Sin Ley,esta pasando twhashtag twurl,Positivo,91
Aroguden,Barquisimeto-Venezuela,cavan cientos de fosas en twhashtag de provincia twhashtag de twhashtag para potenciales victimas de twhashtag twurl,Positivo,87
LuMauAran,,el activismo politico no es un delito. en esta coyuntura del twhashtag las redes sociales son trincheras para decir… twurl,Positivo,75
RTVCes,Islas Canarias,"🔴ya en antena, desde presidencia del gobierno, en la entrevista a roman rodriguez, vicepresidente del gobierno de c… twurl",Positivo,70
TW_Honduras,Honduras,una vez mas twhashtag llego a twhashtag apoyando al presidente twmention contra el twhashtag con … twurl,Positivo,96
lasopapuntocom,Venezuela,twhashtag |  ¡alarmante! este es el mapa en tiempo real de la propagacion del coronavirus .- twhashtag twurl !&amp;,Positivo,93
jaldanabula,,"twhashtag sanitario y requisitos para la importacion y fabricacion de dispositivos medicos, reactivos y el… twurl",Positivo,85
RobertoP_Samper,,"la twhashtag alza su voz para reclamar el fin del twhashtag que impide que lleguen suministros, medicament… twurl",Positivo,89
yaciramendoza,,"a todos los que confunden gestion de la emergencia mundial twhashtag twhashtag con campaña electoral, agradece que un g… twurl",Positivo,85
DiegoooSaezzz,,"con la intencion de informar twmention en twmention  sube a un colectivo con barbijo, antiparras y guantes.… twurl",Positivo,89
SrPreg,,twlaugh!! que rayos paso en twmention los despidos no paran!!🙀#wwe twhashtag twhashtag twurl,Positivo,95
JornadaMorelos,"Cuernavaca, Morelos","no realices ni asistas a reuniones, asi evitaremos contagios masivos de twhashtag cuidamos todos y te cuidas t… twurl",Positivo,86
KennoBernal,"Hermosillo, Sonora, México",si no es el twhashtag son los sicarios twhashtag twurl,Positivo,89
Mef_Pma,Panamá,te damos algunas recomendaciones para evitar el twhashtag y puedas cuidarte a ti y a tu familia#unidosvenceremos… twurl,Positivo,84
Mario_Mendoza_M,Ciudad de México,muy rifados los del ministerio de cultura y politica de informacion de ucrania (@mkipukraine). twhashtag twurl,Positivo,78
MovemosalMundo,Latinoamérica y el Caribe,⚠️no hay evidencia cientifica que diga que twhashtag callejeros transmiten el twhashtag momentos de tanta incert… twurl,Positivo,88
RED92cadadiamas,La Plata - Buenos Aires - ARG,🏢🚨#covid | twhashtag 👮🏻‍♀️👉🏻una penitenciaria de la carcel de olmos se contagio de twhashtag twurl,Positivo,86
camacame,"Monteria,cordoba,colombia","preocupante la toma de decisiones y la garantia de la vida sobre otras prioridades,cuando en el pais se estan reali… twurl",Positivo,74
50Trabajadores,"La Habana, Cuba.","twhashtag  muestras, de las mil  que se realizaron ayer (totalizan  mil ), fueron positivas, para… twurl",Positivo,87
ZulyStark,"Nuevo León, México",suman ya  casos positivos de twhashtag en twmention  de ellos confirmados por el twhashtag el secretario de sa… twurl,Positivo,92
Betianapohl,,"en lugar de garantizar los tratamientos, ponen trabas y mas trabas, obras sociales y prepagas. basta!! twmention twurl",Positivo,84
ana_gragera,España,"""sentia una gran nostalgia, de que no podria decirlo, pero era una gran nostalgia de una vida pasada y de una vida… twurl",Positivo,92
ACHColombia,"Bogota, Colombia",twhashtag | twmention continuamos promoviendo las medidas de prevencion 🚿🧼🏠y apoyando a las familias para que pu… twurl,Positivo,89
CriteriaChile,Santiago / Chile,"¿se puede usar humor para tratar el tema del covid? si, se puede y aqui un buen ejemplo de como twmention aborda… twurl",Positivo,79
SilSterinPensel,"Manhattan, NY",hoy les muestro lo que esta sucediendo en twmention gente que hace oidos sordos a la cuarentena aun teniendo… twurl,Positivo,84
ClavellinoMc,La Plata,la semana proxima comenzaran los testeos de twhashtag en el biologico (provincial) de la plata. twurl,Positivo,87
muniquillota,"Quillota, Chile","queremos agradecer a todas las empresas, instituciones y personas que nos han colaborado durante este periodo para… twurl",Positivo,77
DOCCRUZ1,http://m.google.es/u/m/zS3k5I,ciudad con mas casos de infectados con twhashtag en twhashtag y hoy aporto  profesionales de la salud a la triste l… twurl,Positivo,86
ramkarummo,Guadalajara,"el mensaje retransmitido por twmention es cierto, apoyemos a nuestros heroes de la salud luchando vs. twhashtag twurl",Positivo,90
Tienda20201,,aqui les dejo esta pagina de los casos mas recientes de covid- en el mundo y en mexicoaqui la liga… twurl,Positivo,84
LucioArmijos,"Machala, Ecuador",no somos conscientes de que la normalidad es un invento portentoso; cuando pase esto habra que hacer un monumento a… twurl,Positivo,68
MarcaSportsGT,Guatemala,twhashtag | conoce cuales son los sintomas mas comunes del covid-. el twhashtag te recomienda cuidar espec… twurl,Positivo,89
AmorenogfxLopez,España-Madrid,las pregunta de v🤮por en el congreso :la sexta el cnivenezuela de verdad creeis que a estos les preocupan las v… twurl,Positivo,80
yesyes1000,Bogotá - México ,pavorosa realidad!#medicosenpeligro twhashtag twhashtag twurl,Positivo,90
colgadosfutbol,,y no fue por el twhashtag maldito.. twurl,Positivo,92
LuisAlberto3P,"Salamanca, España","¿todavia no han nombrado a monica lalanda ""defensora del personal sanitario""? twhashtag twurl",Positivo,81
VertienteGloba1,Mexico,twhashtag la delegacion de la twmention hizo entrega este miercoles de un donativo de  cubre bocas a la sec… twurl,Positivo,90
ZeitgeistDoktor,Las Pleyades,twmention twmention twmention twmention twmention twmention twmention twmention twurl,Positivo,93
IntoleranciaID,contacto@intoleranciadiario.com,twhashtag 🔴 los siete integrantes de la comision de bienestar social del twmention realizaron la sesion publica… twurl,Positivo,88
EmmaMontserrat1,,conoce el impacto y las oportunidades que la pandemia del twhashtag  gracias a los webinars gratuitos de la… twurl,Positivo,95
mecanicacaracol,Bilbao,"investigadores de twmention y twmention explican sus proyectos ( respirador automatico, antiviral) para dar r… twurl",Positivo,87
JuanSebasCabral,Asunción - Paraguay,ayer conversaba con twmention de twmention sobre nuestra opinion y postura como twmention hacia los crec… twurl,Positivo,90
SergioAlvarezDR,Colombia,twhashtag les pasa que viven en latinoamerica y constante mente se preguntan ¿que nos mata primero el… twurl,Positivo,76
eltelevisero,,"aitana sanchez gijon denuncia una ""estafa"" tras sufrir el coronavirus: ""indecencia"" twhashtag twurl",Positivo,67
heroes_en_casa,,"si tu resultado de la autoevaluacion es: riesgo bajo. por ahora no presentas sintomas de covid-. sin embargo, deb… twurl",Positivo,49
sigmaasistencia,"Bogotá, D.C., Colombia",¿conoces los productos que estas utilizando para la limpieza y desinfeccion? twhashtag twhashtag twurl,Positivo,90
AndreaObaid,Santiago de Chile,si en chile hay dos variantes del virus twhashtag (europa y asia) que produce el twhashtag entonces me puedo contagi… twurl,Positivo,79
PachaRuiz,En algún lugar d un gran país ,ptm estamos valiendo pito cada dia mas twhashtag twurl twurl,Positivo,92
Daco_Dana,"A Coruña, Galicia","todo lo que cantas haces,  puro arte, en los momentos tan duros que estamos viviendo, nos regala este tema, ha que… twurl",Positivo,75
pedroefm,Cuba,"siguen las cortinas de humo con respecto a twhashtag y lo que pudo o no prevenir al resto del mundo, para ocultar el des… twurl",Positivo,81
alesanz_u,Loja,🛑 actualizacion 🛑#coronavirusloja twhashtag la gobernacion de la provincia de  loja de  informa sobre la situaci… twurl,Positivo,83
daviddelapaz,Latinoamerica,en medio de la crisis de la twhashtag la reanudacion del servicio de carga twhashtag tiene un importante signi… twurl,Positivo,67
TvnoticiasRD,"National District, Dominican R",estudio revela personas con covid- pueden contagiar tres dias antes de mostrar sintomas. twurl… twurl,Positivo,81
eatrightPRO,Chicago,estos recursos se alinean con los mensajes del twmention y ofrecen informacion basada en la ciencia sobre el apoyo a… twurl,Positivo,90
cmicgto,León Guanajuato,📢#urgente 👷‍♀️👷‍♂️ ponemos a tu disposicion el 🔴protocolo de contencion del twhashtag en obras de construccion 🔴🏗📍… twurl,Positivo,84
adraparaguay,"Asuncion, Paraguay",twhashtag | twmention se reune con representantes del twmention con el objetivo de coordinar el desarrollo de ac… twurl,Positivo,93
CHernandezGB,"Washington, DC",comparto nuestro evento con el presidente twmention hablamos sobre las estrategias del gobierno para afrontar la… twurl,Positivo,88
lasillarota,"México, Distrito Federal","accidentes viales durante marzo, el reporte pese a una cdmx semi-vacia por el twhashtag twhashtag twurl",Positivo,87
ODepende,,"👉""yo tengo mucha suerte de tener jardin en mi casa"". no, esto no es un jardin..es una dehesa. 🙄👇#covid twurl",Positivo,86
ChalecosAmarill,,📽🆘️🆘️🆘️ twhashtag recibimos este terrible video. twhashtag ☣🛑exigimos a . twmention y a las fuerzas armadas… twurl,Positivo,92
ExpPolitica,México,la mayoria de los niños piensa que es necesario cuidarse y lavarse las manos para protegerse del coronavirus… twurl,Positivo,73
fortalecemos,Mexico,"en tiempos de twhashtag es importante conocer las causas que motivan a las personas a donar a las osc, para mejorar… twurl",Positivo,89
CanalCaribeCuba,Cuba,twhashtag 📺 | unidades de prevencion y de tropas especiales de las far de la provincia de twhashtag de conjun… twurl,Positivo,88
g_asensiomonica,"Bilbao, España",como pueden seguir acaparando los telediarios las altas hospitalarias  🙋🏽‍♀️🙋🏼🙋🏼‍♀️🙋🏽‍♂️🙋🏾‍♀️c… twurl,Positivo,78
RenePortilo,"San Miguel, El Salvador","todos quieren la prosperidad y nadie quiere sufrir por tenerla, pero ¿como se puede crear un arcoiris sin un poco de… twurl",Positivo,60
davidmurillo24,Honduras,¿cual es el rencor social de los medicos que se ha llamado a una brigada de medicos cubanos? los llaman inexperto… twurl,Positivo,69
AnaRent,MTY - CDMX,secretaria de salud de twhashtag informa que van  casos confirmados de twhashtag en el estado. vamos bien pero por favor twhashtag,Positivo,92
compasuniversal,,"los estupidos, embaucadores, ambiciosos, comunistas y socialistas se pasaron enero, febrero y medio marzo hablando… twurl",Positivo,75
diariolainfo,"Poza Rica, Veracruz, México","twhashtag ¿como ven?ayuntamiento de poza rica rico y seguro, con pueblo.. con pueblo..¿que? ¿pobre y en riesgo… twurl",Positivo,73
oscarmozart,Sudamérica,twmention ¿como cuando dijo que recibiendole ayuda a venezuela ya se habrian hecho  millones de pruebas twhashtag ?,Positivo,75
brunicip,Ecuador,a cuidarnos todos! twhashtag twhashtag twhashtag twhashtag  twhashtag twurl,Positivo,92
LaCapitaldeHond,,twhashtag twhashtag *amdc continua los operativos de prevencion del coronavirus*  varios operativos de prev… twurl,Positivo,84
RubenGlezAmoedo,Barcelona,aun es pronto para hablar de burbuja en biotechs francesas que se estan viendo beneficiadas por el twhashtag ci… twurl,Positivo,80
Daniel_Ascre,"Venezuela, Aragua","twhashtag twhashtag el criminal cartel de trump, sigue buscando distraer a la opinion publica de su des… twurl",Positivo,79
McWayneee,,me estoy dando cuenta que muchos de nosotros los hombres tenemos este reto de ver que tengo nos crece la barba dura… twurl,Positivo,72
CamiTrinanes,"Almirante Brown, Argentina",twhashtag excelente charla sobre 'hacinamiento en los lugares de detencion' en el contexto de la pandemia twhashtag twurl,Positivo,90
juancbaruja,, kg carnaza kg fideo kg tomate  kg cebolla. kg locote kg de panificado litros de aceite cabeza de… twurl,Positivo,73
rominita__ar,"Buenos Aires, Argentina",crees que la practica de  una paja previa a responder las publicaciones que no te gustan evitaria que la gente se a… twurl,Positivo,74
JCarlosMedranoM,México,personal del h. c. de twmention realizo la limpieza y sanitizacion del hospital civil; acciones que reafirma… twurl,Positivo,84
TW_Honduras,Honduras,twhashtag se enorgullece por formar parte de la gran causa promovida por el presidente twmention en el sec… twurl,Positivo,95
Azuesgenial,,"twmention que puntazos mas buenos tienes. en el juego de pedir un deseo egoista, dijiste que pedirias sudar jabon,… twurl",Positivo,93
ViceVenezuela,Caracas - Venezuela,"twhashtag || el vicepdte. sectorial, twmention que en las ultimas  horas se registran cuatro nuevos casos de… twurl",Positivo,91
IsisG2,Oaxaca de Juárez,"twhashtag ⚕ diviertete 😀 y reta a tu familia 😎 en esta twhashtag twhashtag 🦠 muestra tu habilidad, rapidez… twurl",Positivo,90
LucreCruz,,"twhashtag antonio guterres, secretario general de la onu, felicito este martes a los periodistas y comunicadores del mu… twurl",Positivo,88
datosnomitos,,latam twhashtag fallecidos semanalm a mhai🇭🇹+%mex🇲🇽+%col🇨🇴+%bra🇧🇷+%per🇵🇪+%chi🇨🇱+… twurl,Positivo,82
IrlandaJerez,,"twmention principalmente con la ayuda de dios todopoderoso, siga derramando abundante sabiduria.nuestro pais en… twurl",Positivo,83
Aroguden,Barquisimeto-Venezuela,mapa las muertes por twhashtag la enfermedad que provoca el twhashtag de twhashtag superan las . en… twurl,Positivo,89
PJCDMX,Niños Héroes Núm. 132,twhashtag ante la actual contingencia sanitaria por twhashtag en el twhashtag hemos realizado mas de  audiencias… twurl,Positivo,91
Salovna1,,"necesitamos 🆘 test para detectar 🦠 twhashtag dentro de twhashtag tanto a internos como a trabajadores, la situacio… twurl",Positivo,87
MoisesManzanoM,Cataluña - España - Europa,gracias a ese twhashtag de twhashtag otro gran pilar en estos momentos. twhashtag twhashtag twurl,Positivo,98
Roberto_Dubon,"San Salvador, El Salvador",👨🏻‍⚕️🧑🏻‍⚕️👩🏻‍⚕️ || heroes contra el twhashtag twurl,Positivo,92
aciprensa,,. twmention agradecio a los periodistas y comunicadores por su trabajo durante la crisis del coronavirus… twurl,Positivo,73
vanguardiamx,"Saltillo, Coahuila",twhashtag | twhashtag 😷 los hospitales ubicados en las zonas conflictivas del twhashtag estan luchando para… twurl,Positivo,89
cubacooperaveNE,Nueva Esparta,brigada medica cubana en nueva esparta: pesquisa casa a casa dando charlas sobre la covid- para que la poblacion… twurl,Positivo,85
PLenPeru,Lima,"twhashtag pero mientras tanto pueden comprobar en ""observatory on border crossings status"" cual es la situac… twurl",Positivo,80
LuciaAntonio17,,twmention twhashtag evitemos la propagacion del twhashtag,Positivo,92
IsisG2,Oaxaca de Juárez,twhashtag ⚕ anotalo 📝 y tomalo en cuenta ✔️ el agua caliente destruye el twhashtag twhashtag 🦠 ok 😉 comparte… twurl,Positivo,87
